paper_id,url
1001.5241,http://github.com/matsen/roguebe
1001.5241,http://mrbayes.csit.fsu.edu/mb3.1_manual.pdf
1001.5241,http://www.math.tu-berlin.de/~jensen/software/gfan/gfan.html
1005.4552,http://afp.sourceforge.net/
1005.4552,http://c2.com/cgi/wiki?WikiWikiWeb
1005.4552,http://git-scm.com/
1005.4552,http://github.com
1005.4552,http://mathoverflow.net/
1005.4552,http://mathworld.wolfram.com/
1005.4552,http://mizar.org
1005.4552,http://mizar.org/library/
1005.4552,http://mws.cs.ru.nl/mwiki
1005.4552,http://planetmath.org/
1005.4552,http://polymathprojects.org/
1005.4552,http://www.proofwiki.org/wiki/Main_Page
1005.4552,http://www.qpq.org
1005.4552,http://www.vdash.org/intro/
1005.4552,www.springerlink.com
1005.4592,http://mizar.uwb.edu.pl/JFM/Vol1/ordinal1.html
1005.4592,http://mws.cs.ru.nl/~mptp/MizAR.html
1005.4592,http://mws.cs.ru.nl/~mptp/cgi-bin/MizAR.cgi?ProblemSource=URL&FormulaURL=http://mws.cs.ru.nl/~mptp/mml/mml/card_1.miz&Name=Test1
1005.4592,http://mws.cs.ru.nl/~mptp/mml/mm1/card_1.miz
1005.4592,http://mws.cs.ru.nl/~mptp/mml/mml
1005.4592,http://www.tptp.org/cgi-bin/SystemOnTPTP
1005.4592,www.springerlink.com
1011.3595,http://arc.semsol.org/docs/v2/sparql+
1011.3595,http://code.google.com/p/pubsubhubbub/
1011.3595,http://danbri.org/words/2008/02/11/278
1011.3595,http://dev.twitter.com/pages/streaming_api
1011.3595,http://dsnotify.org/
1011.3595,http://esw.w3.org/SparqlUpdateLanguage
1011.3595,http://esw.w3.org/SweoIG/TaskForces/CommunityProjects/LinkingOpenData
1011.3595,http://fortytwo.net/research/rdfstream
1011.3595,http://github.com/joshsh/laboratory/tree/master/research/rdfstream/
1011.3595,http://n2.talis.com/wiki/Changesets
1011.3595,http://swat.cse.lehigh.edu/projects/lubm/
1011.3595,http://triplify.org/vocabulary/update
1011.3595,http://vocab.org/changeset/schema.html
1011.3595,http://web3.org/specs/guo/
1011.3595,http://websub.org/wiki/GRUF
1011.3595,http://www.edutella.org/edutella.shtml
1011.3595,http://www.franz.com/
1011.3595,http://www.guha.com/rdfdb/query.html#insert
1011.3595,http://www.w3.org/DesignIssues/Diff
1011.3595,http://www.w3.org/DesignIssues/Notation3
1011.3595,http://www.w3.org/Submission/2008/04
1011.3595,http://www.w3.org/TR/2009/WD-sparql11-http-rdf-update-20091022/
1011.3595,http://www.w3.org/TR/sparql11-update/
1011.3595,http://www4.wiwiiss.fu-berlin.de/bizer/silk/wodimp/
1011.6223,http://caml.inria.fr/
1011.6223,http://caml.inria.fr/caml-light/
1011.6223,http://caml.inria.fr/mantis/view.php?id=5180
1011.6223,http://caml.inria.fr/ocaml/
1011.6223,http://developer.amd.com/documentation/guides/Pages/default.aspx
1011.6223,http://sites.google.com/site/io/dalvik-vm-internals/
1011.6223,http://www.ecma-international.org/publications/standards/Ecma-335.htm
1011.6223,http://www.gnu.org/software/lightning/
1011.6223,http://www.intel.com/products/processor/manuals/
1011.6223,http://www.metaocaml.org/
1011.6223,http://www.parrot.org
1011.6223,http://www.sco.com/developers/devspecs/
1011.6223,https://github.com/bmeurer/camljit2/
1011.6363,http://bwrc.eecs.berkeley.edu/Classes/IcBook/SPICE/
1011.6363,http://qucs.sf.net
1011.6363,http://trolltech.com/products
1011.6363,http://www.gnu.org/licenses/gpl.html
1011.6363,http://www.scipy.org
1011.6363,https://github.com/zonca/python-qucs
1012.0091,http://github.com/rhz/conan/
1012.0091,http://www.graphviz.org/
1012.0091,http://www.python.org/
1101.3314,http://roban.github.com/CosmoloPy/
1101.3314,http://www.astro.princeton.edu/~mesinger/Sim.html
1102.0930,ASP.NET
1102.0930,batasurvey.com
1102.0930,http://example.com/path/to/XXXXXXXXXXXXXXXXXXXXfile.html
1102.0930,http://example.com/path/to/file.html
1102.0930,http://www.worldwidewebsize.com/
