file,paper_id,preceding,target,trailing,url,Label,location,split
11f13e2859eb22b349dbef68fd8124b8ba445aac.json,PMC7004396,,"As of February 4, 2020, a total of 20,471 confirmed cases, including2,788 (13.6%) with severe illness,[Includes any of the following: dyspnea, respiratory rate >30 breaths per minute,hypoxemia, or chest x-ray with multilobar infiltrates or >50% progression ofpulmonary infiltration within 24–48 hours per WHO. https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200123-sitrep-3-2019-ncov.pdf.] and 425 deaths (2.1%) hadbeen reported by the National Health Commission of China(2).",,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200123-sitrep-3-2019-ncov.pdf,0,footnote,test
11f13e2859eb22b349dbef68fd8124b8ba445aac.json,PMC7004396,"As of February 4,11 cases had been reported in the United States.","On January30, the World Health Organization (WHO) Director-Generaldeclared that the 2019-nCoV outbreak constitutes a PublicHealth Emergency of International Concern.[https://www.who.int/news-room/detail/30-01-2020-statement-on-the-second-meeting-of-the-international-health-regulations-(2005)-emergency-committee-regarding-the-outbreak-of-novel-coronavirus-(2019-ncov)].",,https://www.who.int/news-room/detail/30-01-2020-statement-on-the-second-meeting-of-the-international-health-regulations-(2005)-emergency-committee-regarding-the-outbreak-of-novel-coronavirus-(2019-ncov),0,footnote,test
11f13e2859eb22b349dbef68fd8124b8ba445aac.json,PMC7004396,"On January30, the World Health Organization (WHO) Director-Generaldeclared that the 2019-nCoV outbreak constitutes a PublicHealth Emergency of International Concern.","On January 31,the U.S. Department of Health and Human Services (HHS)Secretary declared a U.S. public health emergency to respondto 2019-nCoV. [https://www.phe.gov/emergency/news/healthactions/phe/Pages/2019-nCoV.aspx.]",,https://www.phe.gov/emergency/news/healthactions/phe/Pages/2019-nCoV.aspx,0,footnote,test
11f13e2859eb22b349dbef68fd8124b8ba445aac.json,PMC7004396,"As of February 4, a total of 293 persons from 36 states, theDistrict of Columbia, and the U.S.","Virgin Islands were underinvestigation based on current patient under investigation (PUI) definitions,[Criteria to guide evaluation and testing of patients under investigation for2019-nCoV include 1) fever or signs or symptoms of lower respiratory tractillness (e.g., cough or shortness of breath) in any person, including a health careworker, who has had close contact with a patient with laboratory-confirmed2019-nCoV infection within 14 days of symptom onset; 2) fever and signs orsymptoms of lower respiratory tract illness (e.g., cough or shortness of breath)in any person with a history of travel from Hubei Province, China, within14 days of symptom onset; or 3) fever and signs or symptoms of lower respiratorytract illness (e.g., cough or shortness of breath) requiring hospitalization in anyperson with a history of travel from mainland China within 14 days of symptomonset. More information is available at https://emergency.cdc.gov/han/han00427.asp and https://emergency.cdc.gov/han/han00426.asp.] and also included those being evaluatedbecause they are close contacts.","Of these PUIs, 11 patientshave confirmed 2019-nCoV infection using a real-timereverse transcription–polymerase chain reaction (RT-PCR)assay developed by CDC.",https://emergency.cdc.gov/han/han00427.asp and https://emergency.cdc.gov/han/han00426.asp,0,footnote,test
11f13e2859eb22b349dbef68fd8124b8ba445aac.json,PMC7004396,"In addition, CDC in response to the escalating risksof travel from China has issued a series of Travelers’ HealthNotices for both Wuhan and the rest of China regarding the2019-nCoV outbreak.","On January 27, CDC issued a Level 3travel notice for travelers to avoid all nonessential travel tomainland China. [https://wwwnc.cdc.gov/travel/notices/warning/novel-coronavirus-china.]",,https://wwwnc.cdc.gov/travel/notices/warning/novel-coronavirus-china,0,footnote,test
11f13e2859eb22b349dbef68fd8124b8ba445aac.json,PMC7004396,"U.S. quarantine stations, located at 18 major U.S. portsof entry, are part of a comprehensive regulatory systemauthorized under section 361 of the Public Health ServiceAct (42 U.S. Code Section 264), that limits the introductionof infectious diseases into the United States to prevent theirspread.","On January 17, consistent with existing communicabledisease response protocols, CDC Quarantine staff membersinstituted enhanced entry screening of travelers on direct andconnecting flights from Wuhan, China, arriving at three majorU.S. airports: Los Angeles (LAX), New York City (JFK), andSan Francisco (SFO) [https://www.cdc.gov/media/releases/2020/p0117-coronavirus-screening.html.], which then expanded to include travel-ers arriving in Atlanta (ATL) and Chicago (ORD).","These fiveairports together receive approximately 85% of all air travelersfrom Wuhan, China, to the United States.",https://www.cdc.gov/media/releases/2020/p0117-coronavirus-screening.html,0,footnote,test
11f13e2859eb22b349dbef68fd8124b8ba445aac.json,PMC7004396,"Wuhan with signs or symptoms of illness (e.g.,fever, cough, or difficulty breathing) received a more compre-hensive public health assessment performed by CDC publichealth and medical officers.",All travelers from Wuhan were also provided CDC’s Travel Health Alert Notice (T-HAN) [ https://www.cdc.gov/coronavirus/2019-ncov/travelers/communicationresources.html] that advised them to monitor their health for 14 days and described recommended actions to take if relevant symptomsdevelop.,"As of February 1, 2020, a total of 3,099 persons on437 flights were screened; five symptomatic travelers werereferred by CDC to local health care providers for furthermedical evaluation, and one of these persons tested positivefor 2019-nCoV.",https://www.cdc.gov/coronavirus/2019-ncov/travelers/communicationresources.html,0,footnote,test
11f13e2859eb22b349dbef68fd8124b8ba445aac.json,PMC7004396,,"On January 31, CDC published its third Health Advisorywith interim guidance for clinicians and public health prac-titioners. [https://emergency.cdc.gov/han/han00427.asp.]","In addition, CDC issued a Clinical ActionAlert through its Clinician Outreach and CommunicationActivity network on January 31.",https://emergency.cdc.gov/han/han00427.asp,0,footnote,test
11f13e2859eb22b349dbef68fd8124b8ba445aac.json,PMC7004396,"On January 31, CDC published its third Health Advisorywith interim guidance for clinicians and public health prac-titioners.","In addition, CDC issued a Clinical ActionAlert through its Clinician Outreach and CommunicationActivity network on January 31. [https://emergency.cdc.gov/coca/calls/2020/callinfo_013120.asp.]",Interim guidance forhealth care professionals is available at https://www.cdc.gov/coronavirus/2019-nCoV/hcp/clinical-criteria.html.,https://emergency.cdc.gov/coca/calls/2020/callinfo_013120.asp,0,footnote,test
11f13e2859eb22b349dbef68fd8124b8ba445aac.json,PMC7004396,Thehealth department will determine whether the patient needs tobe considered a PUI for 2019-nCoV and be tested for infection.,"If directed by the health department, to increase the likeli-hood of detecting 2019-nCoV infection, CDC recommendscollecting and testing both upper and lower respiratory tractspecimens. [https://www.cdc.gov/coronavirus/2019-nCoV/lab/guidelines-clinical-specimens.html.]","Additional specimen types (e.g., stool or urine) may be collected and stored. Specimens should be collectedas soon as possible once a PUI is identified regardless of timesince symptom onset.",https://www.cdc.gov/coronavirus/2019-nCoV/lab/guidelines-clinical-specimens.html.,0,footnote,test
8f9f22f0d245cf41e5047230fa1c907b47a734ac.json,PMC3787546,,"In the case of COPD, WHO consensus reports forecast that this disorder will be ranked the third cause of mortality in the world by 2020 (Global initiative for chronic obstructive lung disease [GOLD], 2013 [http://www.goldcopd.org/uploads/users/files/GOLD_Report_2013_Feb20.pdf]).","Acute deterioration of symptoms and lung function, which often results in respiratory failure, is a so-called“exacerbation,” and it is an important and severe social and medical burden in both diseases.",http://www.goldcopd.org/uploads/users/files/GOLD_Report_2013_Feb20.pdf,0,footnote,test
